category,report,prompt,label,model,filename,criterion,score,average_score
direct,report_2,few_shot,B,gemini,report_2_few_shot_gemini.txt,numerical_accuracy,0.95,0.95
direct,report_2,few_shot,B,gemini,report_2_few_shot_gemini.txt,coverage,0.9,0.95
direct,report_2,few_shot,B,gemini,report_2_few_shot_gemini.txt,coherence,1.0,0.95
direct,report_2,few_shot,C,ollama,report_2_few_shot_ollama.txt,faithfulness,0.75,0.775
direct,report_2,few_shot,C,ollama,report_2_few_shot_ollama.txt,numerical_accuracy,0.8,0.775
direct,report_2,few_shot,C,ollama,report_2_few_shot_ollama.txt,coverage,0.65,0.775
direct,report_2,few_shot,C,ollama,report_2_few_shot_ollama.txt,coherence,0.9,0.775
direct,report_2,zero_shot,A,openai,report_2_zero_shot_openai.txt,faithfulness,0.85,0.85
direct,report_2,zero_shot,A,openai,report_2_zero_shot_openai.txt,numerical_accuracy,0.8,0.85
direct,report_2,zero_shot,A,openai,report_2_zero_shot_openai.txt,coverage,0.8,0.85
direct,report_2,zero_shot,A,openai,report_2_zero_shot_openai.txt,coherence,0.95,0.85
direct,report_2,zero_shot,B,gemini,report_2_zero_shot_gemini.txt,faithfulness,0.9,0.925
direct,report_2,zero_shot,B,gemini,report_2_zero_shot_gemini.txt,numerical_accuracy,0.95,0.925
direct,report_2,zero_shot,B,gemini,report_2_zero_shot_gemini.txt,coverage,0.85,0.925
direct,report_2,zero_shot,B,gemini,report_2_zero_shot_gemini.txt,coherence,1.0,0.925
direct,report_2,zero_shot,C,ollama,report_2_zero_shot_ollama.txt,faithfulness,0.7,0.7125
direct,report_2,zero_shot,C,ollama,report_2_zero_shot_ollama.txt,numerical_accuracy,0.8,0.7125
direct,report_2,zero_shot,C,ollama,report_2_zero_shot_ollama.txt,coverage,0.55,0.7125
direct,report_2,zero_shot,C,ollama,report_2_zero_shot_ollama.txt,coherence,0.8,0.7125
direct,report_3,chain_of_event,A,gemini,report_3_chain_of_event_gemini.txt,faithfulness,0.85,0.8875
direct,report_3,chain_of_event,A,gemini,report_3_chain_of_event_gemini.txt,numerical_accuracy,1.0,0.8875
direct,report_3,chain_of_event,A,gemini,report_3_chain_of_event_gemini.txt,coverage,0.75,0.8875
direct,report_3,chain_of_event,A,gemini,report_3_chain_of_event_gemini.txt,coherence,0.95,0.8875
direct,report_3,chain_of_event,B,openai,report_3_chain_of_event_openai.txt,faithfulness,0.95,0.95
direct,report_3,chain_of_event,B,openai,report_3_chain_of_event_openai.txt,numerical_accuracy,1.0,0.95
direct,report_3,chain_of_event,B,openai,report_3_chain_of_event_openai.txt,coverage,0.85,0.95
direct,report_3,chain_of_event,B,openai,report_3_chain_of_event_openai.txt,coherence,1.0,0.95
direct,report_3,chain_of_event,C,ollama,report_3_chain_of_event_ollama.txt,faithfulness,0.2,0.375
direct,report_3,chain_of_event,C,ollama,report_3_chain_of_event_ollama.txt,numerical_accuracy,0.25,0.375
direct,report_3,chain_of_event,C,ollama,report_3_chain_of_event_ollama.txt,coverage,0.5,0.375
direct,report_3,chain_of_event,C,ollama,report_3_chain_of_event_ollama.txt,coherence,0.55,0.375
direct,report_3,few_shot,A,openai,report_3_few_shot_openai.txt,faithfulness,0.9,0.9
direct,report_3,few_shot,A,openai,report_3_few_shot_openai.txt,numerical_accuracy,0.95,0.9
direct,report_3,few_shot,A,openai,report_3_few_shot_openai.txt,coverage,0.8,0.9
direct,report_3,few_shot,A,openai,report_3_few_shot_openai.txt,coherence,0.95,0.9
direct,report_3,few_shot,B,gemini,report_3_few_shot_gemini.txt,faithfulness,0.85,0.8875
direct,report_3,few_shot,B,gemini,report_3_few_shot_gemini.txt,numerical_accuracy,0.9,0.8875
direct,report_3,few_shot,B,gemini,report_3_few_shot_gemini.txt,coverage,0.85,0.8875
direct,report_3,few_shot,B,gemini,report_3_few_shot_gemini.txt,coherence,0.95,0.8875
direct,report_3,few_shot,C,ollama,report_3_few_shot_ollama.txt,faithfulness,0.4,0.4125
direct,report_3,few_shot,C,ollama,report_3_few_shot_ollama.txt,numerical_accuracy,0.25,0.4125
direct,report_3,few_shot,C,ollama,report_3_few_shot_ollama.txt,coverage,0.3,0.4125
direct,report_3,few_shot,C,ollama,report_3_few_shot_ollama.txt,coherence,0.7,0.4125
direct,report_3,zero_shot,A,openai,report_3_zero_shot_openai.txt,faithfulness,0.9,0.8875
direct,report_3,zero_shot,A,openai,report_3_zero_shot_openai.txt,numerical_accuracy,0.95,0.8875
direct,report_3,zero_shot,A,openai,report_3_zero_shot_openai.txt,coverage,0.75,0.8875
direct,report_3,zero_shot,A,openai,report_3_zero_shot_openai.txt,coherence,0.95,0.8875
direct,report_3,zero_shot,B,ollama,report_3_zero_shot_ollama.txt,faithfulness,0.6,0.6625
direct,report_3,zero_shot,B,ollama,report_3_zero_shot_ollama.txt,numerical_accuracy,0.7,0.6625
direct,report_3,zero_shot,B,ollama,report_3_zero_shot_ollama.txt,coverage,0.55,0.6625
direct,report_3,zero_shot,B,ollama,report_3_zero_shot_ollama.txt,coherence,0.8,0.6625
direct,report_3,zero_shot,C,gemini,report_3_zero_shot_gemini.txt,faithfulness,0.8,0.8625
direct,report_3,zero_shot,C,gemini,report_3_zero_shot_gemini.txt,numerical_accuracy,0.95,0.8625
direct,report_3,zero_shot,C,gemini,report_3_zero_shot_gemini.txt,coverage,0.75,0.8625
direct,report_3,zero_shot,C,gemini,report_3_zero_shot_gemini.txt,coherence,0.95,0.8625
direct,report_4,chain_of_event,A,openai,report_4_chain_of_event_openai.txt,faithfulness,0.75,0.825
direct,report_4,chain_of_event,A,openai,report_4_chain_of_event_openai.txt,numerical_accuracy,0.8,0.825
direct,report_4,chain_of_event,A,openai,report_4_chain_of_event_openai.txt,coverage,0.85,0.825
direct,report_4,chain_of_event,A,openai,report_4_chain_of_event_openai.txt,coherence,0.9,0.825
direct,report_4,chain_of_event,B,ollama,report_4_chain_of_event_ollama.txt,faithfulness,0.95,0.9125
direct,report_4,chain_of_event,B,ollama,report_4_chain_of_event_ollama.txt,numerical_accuracy,0.95,0.9125
direct,report_4,chain_of_event,B,ollama,report_4_chain_of_event_ollama.txt,coverage,0.8,0.9125
direct,report_4,chain_of_event,B,ollama,report_4_chain_of_event_ollama.txt,coherence,0.95,0.9125
direct,report_4,chain_of_event,C,gemini,report_4_chain_of_event_gemini.txt,faithfulness,0.85,0.9
direct,report_4,chain_of_event,C,gemini,report_4_chain_of_event_gemini.txt,numerical_accuracy,0.95,0.9
direct,report_4,chain_of_event,C,gemini,report_4_chain_of_event_gemini.txt,coverage,0.85,0.9
direct,report_4,chain_of_event,C,gemini,report_4_chain_of_event_gemini.txt,coherence,0.95,0.9
direct,report_4,few_shot,A,openai,report_4_few_shot_openai.txt,faithfulness,0.95,0.9375
direct,report_4,few_shot,A,openai,report_4_few_shot_openai.txt,numerical_accuracy,1.0,0.9375
direct,report_4,few_shot,A,openai,report_4_few_shot_openai.txt,coverage,0.85,0.9375
direct,report_4,few_shot,A,openai,report_4_few_shot_openai.txt,coherence,0.95,0.9375
direct,report_4,few_shot,B,ollama,report_4_few_shot_ollama.txt,faithfulness,0.7,0.7
direct,report_4,few_shot,B,ollama,report_4_few_shot_ollama.txt,numerical_accuracy,0.8,0.7
direct,report_4,few_shot,B,ollama,report_4_few_shot_ollama.txt,coverage,0.5,0.7
direct,report_4,few_shot,B,ollama,report_4_few_shot_ollama.txt,coherence,0.8,0.7
direct,report_4,few_shot,C,gemini,report_4_few_shot_gemini.txt,faithfulness,0.9,0.9125
direct,report_4,few_shot,C,gemini,report_4_few_shot_gemini.txt,numerical_accuracy,1.0,0.9125
direct,report_4,few_shot,C,gemini,report_4_few_shot_gemini.txt,coverage,0.8,0.9125
direct,report_4,few_shot,C,gemini,report_4_few_shot_gemini.txt,coherence,0.95,0.9125
direct,report_4,zero_shot,A,openai,report_4_zero_shot_openai.txt,faithfulness,0.9,0.9125
direct,report_4,zero_shot,A,openai,report_4_zero_shot_openai.txt,numerical_accuracy,0.95,0.9125
direct,report_4,zero_shot,A,openai,report_4_zero_shot_openai.txt,coverage,0.85,0.9125
direct,report_4,zero_shot,A,openai,report_4_zero_shot_openai.txt,coherence,0.95,0.9125
direct,report_4,zero_shot,B,ollama,report_4_zero_shot_ollama.txt,faithfulness,0.65,0.6375
direct,report_4,zero_shot,B,ollama,report_4_zero_shot_ollama.txt,numerical_accuracy,0.55,0.6375
direct,report_4,zero_shot,B,ollama,report_4_zero_shot_ollama.txt,coverage,0.6,0.6375
direct,report_4,zero_shot,B,ollama,report_4_zero_shot_ollama.txt,coherence,0.75,0.6375
direct,report_4,zero_shot,C,gemini,report_4_zero_shot_gemini.txt,faithfulness,0.9,0.9
direct,report_4,zero_shot,C,gemini,report_4_zero_shot_gemini.txt,numerical_accuracy,0.95,0.9
direct,report_4,zero_shot,C,gemini,report_4_zero_shot_gemini.txt,coverage,0.8,0.9
direct,report_4,zero_shot,C,gemini,report_4_zero_shot_gemini.txt,coherence,0.95,0.9
