report,report_type,generator_model,generator_key,prompt_type,generation_mode,judge_model,judge_reasoning_effort,faithfulness,factual_supported,factual_contradicted,factual_not_found,factual_total,numerical_accuracy,numerical_correct,numerical_incorrect,numerical_total,completeness,completeness_label,key_information_total,completeness_present,completeness_partially_present,completeness_missing,coherence,coherence_label,judge_input_tokens_total,judge_output_tokens_total_including_reasoning,judge_total_tokens,judge_latency_seconds_total,merged_file
report_annual_3.md,annual_report,GPT-5.6 Luna,openai,zero_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,22,0,0,22,1.0,18,0,18,3,Generally yes,12,8,0,4,4,Yes,205478,10070,215548,73.98,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_3_zero_shot_openai_judge.json
report_annual_3.md,annual_report,Gemini 3.5 Flash-Lite,gemini,zero_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,9,0,0,9,1.0,21,0,21,3,Generally yes,12,8,0,4,4,Yes,206395,9718,216113,67.47,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_3_zero_shot_gemini_judge.json
report_annual_3.md,annual_report,Qwen3.6-35B-A3B,qwen36,zero_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,19,0,0,19,1.0,15,0,15,3,Generally yes,12,8,0,4,4,Yes,105027,7715,112742,41.33,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_3_zero_shot_qwen36_judge.json
report_annual_3.md,annual_report,GPT-5.6 Luna,openai,few_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,23,0,0,23,1.0,21,0,21,3,Generally yes,12,7,0,5,4,Yes,205541,10940,216481,69.67,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_3_few_shot_openai_judge.json
report_annual_3.md,annual_report,Gemini 3.5 Flash-Lite,gemini,few_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,21,0,0,21,1.0,49,0,49,3,Generally yes,12,8,0,4,4,Yes,105444,11984,117428,58.12,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_3_few_shot_gemini_judge.json
report_annual_3.md,annual_report,Qwen3.6-35B-A3B,qwen36,few_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,19,0,0,19,1.0,13,0,13,3,Generally yes,12,9,0,3,4,Yes,205519,8286,213805,57.9,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_3_few_shot_qwen36_judge.json
report_annual_3.md,annual_report,GPT-5.6 Luna,openai,chain_of_event,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,19,0,0,19,1.0,22,0,22,3,Generally yes,12,8,0,4,4,Yes,104964,8066,113030,51.66,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_3_chain_of_event_openai_judge.json
report_annual_3.md,annual_report,Gemini 3.5 Flash-Lite,gemini,chain_of_event,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,13,0,0,13,0.916667,11,1,12,1,Not generally,12,4,0,8,4,Yes,104682,7563,112245,46.8,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_3_chain_of_event_gemini_judge.json
report_annual_3.md,annual_report,Qwen3.6-35B-A3B,qwen36,chain_of_event,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,20,0,0,20,1.0,17,0,17,3,Generally yes,12,8,0,4,4,Yes,205558,8139,213697,55.89,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_3_chain_of_event_qwen36_judge.json
report_annual_4.md,annual_report,GPT-5.6 Luna,openai,zero_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,18,0,0,18,1.0,20,0,20,3,Generally yes,7,4,1,2,4,Yes,267440,7502,274942,57.59,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_4_zero_shot_openai_judge.json
report_annual_4.md,annual_report,Gemini 3.5 Flash-Lite,gemini,zero_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,10,0,0,10,0.944444,17,1,18,3,Generally yes,7,4,0,3,4,Yes,136656,11967,148623,99.55,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_4_zero_shot_gemini_judge.json
report_annual_4.md,annual_report,Qwen3.6-35B-A3B,qwen36,zero_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,19,0,0,19,1.0,14,0,14,4,Yes,7,5,1,1,4,Yes,267679,7447,275126,62.65,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_4_zero_shot_qwen36_judge.json
report_annual_4.md,annual_report,GPT-5.6 Luna,openai,few_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,0.95,19,1,0,20,0.95,19,1,20,4,Yes,7,6,0,1,4,Yes,136059,6859,142918,48.08,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_4_few_shot_openai_judge.json
report_annual_4.md,annual_report,Gemini 3.5 Flash-Lite,gemini,few_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,11,0,0,11,1.0,10,0,10,1,Not generally,7,2,1,4,4,Yes,135228,4413,139641,81.35,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_4_few_shot_gemini_judge.json
report_annual_4.md,annual_report,Qwen3.6-35B-A3B,qwen36,few_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,20,0,0,20,1.0,9,0,9,3,Generally yes,7,5,0,2,4,Yes,135951,6037,141988,36.93,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_4_few_shot_qwen36_judge.json
report_annual_4.md,annual_report,GPT-5.6 Luna,openai,chain_of_event,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,17,0,0,17,1.0,11,0,11,3,Generally yes,7,5,0,2,4,Yes,135750,6211,141961,40.7,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_4_chain_of_event_openai_judge.json
report_annual_4.md,annual_report,Gemini 3.5 Flash-Lite,gemini,chain_of_event,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,14,0,0,14,1.0,12,0,12,2,Neutral/Mixed,7,3,0,4,3,Generally yes,135507,5368,140875,31.61,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_4_chain_of_event_gemini_judge.json
report_annual_4.md,annual_report,Qwen3.6-35B-A3B,qwen36,chain_of_event,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,19,0,0,19,1.0,11,0,11,4,Yes,7,6,0,1,4,Yes,135744,6116,141860,40.36,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_4_chain_of_event_qwen36_judge.json
report_annual_5.md,annual_report,GPT-5.6 Luna,openai,zero_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,16,0,0,16,0.947368,18,1,19,3,Generally yes,12,8,1,3,4,Yes,276928,11228,288156,77.14,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_5_zero_shot_openai_judge.json
report_annual_5.md,annual_report,Gemini 3.5 Flash-Lite,gemini,zero_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,15,0,0,15,0.923077,12,1,13,3,Generally yes,12,8,0,4,3,Generally yes,139994,8040,148034,63.2,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_5_zero_shot_gemini_judge.json
report_annual_5.md,annual_report,Qwen3.6-35B-A3B,qwen36,zero_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,15,0,0,15,0.909091,10,1,11,3,Generally yes,12,9,0,3,4,Yes,276996,9547,286543,67.07,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_5_zero_shot_qwen36_judge.json
report_annual_5.md,annual_report,GPT-5.6 Luna,openai,few_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,13,0,0,13,1.0,17,0,17,3,Generally yes,12,10,0,2,4,Yes,276296,8392,284688,58.55,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_5_few_shot_openai_judge.json
report_annual_5.md,annual_report,Gemini 3.5 Flash-Lite,gemini,few_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,8,0,0,8,1.0,15,0,15,3,Generally yes,12,9,0,3,4,Yes,275871,5729,281600,47.41,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_5_few_shot_gemini_judge.json
report_annual_5.md,annual_report,GPT-5.6 Luna,openai,chain_of_event,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,20,0,0,20,1.0,14,0,14,3,Generally yes,12,8,0,4,4,Yes,276117,8201,284318,51.05,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_5_chain_of_event_openai_judge.json
report_annual_5.md,annual_report,Qwen3.6-35B-A3B,qwen36,chain_of_event,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,20,0,0,20,1.0,13,0,13,3,Generally yes,12,9,0,3,4,Yes,140525,6721,147246,40.71,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_5_chain_of_event_qwen36_judge.json
report_annual_6.md,annual_report,GPT-5.6 Luna,openai,zero_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,21,0,0,21,1.0,19,0,19,3,Generally yes,6,5,0,1,4,Yes,66856,8546,75402,49.39,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_6_zero_shot_openai_judge.json
report_annual_6.md,annual_report,Gemini 3.5 Flash-Lite,gemini,zero_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,6,0,0,6,0.958333,23,1,24,3,Generally yes,6,3,1,2,3,Generally yes,130015,10718,140733,62.68,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_6_zero_shot_gemini_judge.json
report_annual_6.md,annual_report,Qwen3.6-35B-A3B,qwen36,zero_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,21,0,0,21,1.0,15,0,15,3,Generally yes,6,5,0,1,4,Yes,129446,7008,136454,41.97,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_6_zero_shot_qwen36_judge.json
report_annual_6.md,annual_report,GPT-5.6 Luna,openai,few_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,23,0,0,23,1.0,17,0,17,3,Generally yes,6,5,0,1,4,Yes,129604,8770,138374,54.12,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_6_few_shot_openai_judge.json
report_annual_6.md,annual_report,Gemini 3.5 Flash-Lite,gemini,few_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,25,0,0,25,1.0,23,0,23,4,Yes,6,5,0,1,4,Yes,67564,9413,76977,50.23,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_6_few_shot_gemini_judge.json
report_annual_6.md,annual_report,Qwen3.6-35B-A3B,qwen36,few_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,21,0,0,21,1.0,14,0,14,4,Yes,6,6,0,0,4,Yes,66892,5992,72884,37.9,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_6_few_shot_qwen36_judge.json
report_annual_6.md,annual_report,GPT-5.6 Luna,openai,chain_of_event,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,23,0,0,23,1.0,16,0,16,3,Generally yes,6,5,0,1,4,Yes,129581,8223,137804,68.29,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_6_chain_of_event_openai_judge.json
report_annual_6.md,annual_report,Gemini 3.5 Flash-Lite,gemini,chain_of_event,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,18,0,0,18,1.0,37,0,37,4,Yes,6,5,0,1,4,Yes,67402,8260,75662,37.48,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_6_chain_of_event_gemini_judge.json
report_annual_6.md,annual_report,Qwen3.6-35B-A3B,qwen36,chain_of_event,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,25,0,0,25,1.0,19,0,19,4,Yes,6,6,0,0,4,Yes,67081,7567,74648,43.77,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_6_chain_of_event_qwen36_judge.json
report_annual_7.md,annual_report,GPT-5.6 Luna,openai,zero_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,21,0,0,21,1.0,15,0,15,3,Generally yes,7,5,0,2,4,Yes,254027,7523,261550,53.82,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_7_zero_shot_openai_judge.json
report_annual_7.md,annual_report,Gemini 3.5 Flash-Lite,gemini,zero_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,14,0,0,14,1.0,17,0,17,3,Generally yes,7,4,0,3,4,Yes,129146,5984,135130,32.51,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_7_zero_shot_gemini_judge.json
report_annual_7.md,annual_report,Qwen3.6-35B-A3B,qwen36,zero_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,19,0,0,19,1.0,17,0,17,3,Generally yes,7,4,1,2,3,Generally yes,129485,6934,136419,39.08,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_7_zero_shot_qwen36_judge.json
report_annual_7.md,annual_report,GPT-5.6 Luna,openai,few_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,26,0,0,26,1.0,35,0,35,3,Generally yes,7,5,1,1,3,Generally yes,129929,10516,140445,57.62,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_7_few_shot_openai_judge.json
report_annual_7.md,annual_report,Gemini 3.5 Flash-Lite,gemini,few_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,20,0,0,20,1.0,18,0,18,2,Neutral/Mixed,7,4,0,3,4,Yes,129737,8042,137779,57.35,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_7_few_shot_gemini_judge.json
report_annual_7.md,annual_report,Qwen3.6-35B-A3B,qwen36,few_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,18,0,0,18,1.0,13,0,13,3,Generally yes,7,6,0,1,4,Yes,129359,5765,135124,47.09,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_7_few_shot_qwen36_judge.json
report_annual_7.md,annual_report,GPT-5.6 Luna,openai,chain_of_event,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,23,0,0,23,1.0,18,0,18,2,Neutral/Mixed,7,3,1,3,4,Yes,254069,7466,261535,60.46,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_7_chain_of_event_openai_judge.json
report_annual_7.md,annual_report,Gemini 3.5 Flash-Lite,gemini,chain_of_event,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,20,0,0,20,1.0,19,0,19,2,Neutral/Mixed,7,3,0,4,4,Yes,255056,9283,264339,60.93,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_7_chain_of_event_gemini_judge.json
report_annual_7.md,annual_report,Qwen3.6-35B-A3B,qwen36,chain_of_event,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,21,0,0,21,1.0,15,0,15,3,Generally yes,7,4,0,3,4,Yes,129518,7560,137078,44.1,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_7_chain_of_event_qwen36_judge.json
report_annual_8.md,annual_report,GPT-5.6 Luna,openai,zero_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,16,0,0,16,0.842105,16,3,19,3,Generally yes,8,7,0,1,4,Yes,143599,22750,166349,160.8,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_8_zero_shot_openai_judge.json
report_annual_8.md,annual_report,Gemini 3.5 Flash-Lite,gemini,zero_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,18,0,0,18,1.0,14,0,14,3,Generally yes,8,6,1,1,4,Yes,142978,8858,151836,57.1,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_8_zero_shot_gemini_judge.json
report_annual_8.md,annual_report,Qwen3.6-35B-A3B,qwen36,zero_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,20,0,0,20,1.0,15,0,15,3,Generally yes,8,7,0,1,4,Yes,73668,8214,81882,57.85,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_8_zero_shot_qwen36_judge.json
report_annual_8.md,annual_report,Gemini 3.5 Flash-Lite,gemini,few_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,16,0,0,16,1.0,15,0,15,3,Generally yes,8,5,0,3,4,Yes,73575,7666,81241,48.79,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_8_few_shot_gemini_judge.json
report_annual_8.md,annual_report,Qwen3.6-35B-A3B,qwen36,few_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,0.916667,11,0,1,12,1.0,13,0,13,3,Generally yes,8,6,0,2,4,Yes,73695,7521,81216,54.11,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_8_few_shot_qwen36_judge.json
report_annual_8.md,annual_report,GPT-5.6 Luna,openai,chain_of_event,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,22,0,0,22,1.0,14,0,14,3,Generally yes,8,6,0,2,4,Yes,80240,14847,95087,82.88,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_8_chain_of_event_openai_judge.json
report_annual_8.md,annual_report,Qwen3.6-35B-A3B,qwen36,chain_of_event,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,18,0,0,18,1.0,15,0,15,3,Generally yes,8,7,0,1,4,Yes,73533,7580,81113,52.74,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_8_chain_of_event_qwen36_judge.json
